OBJECTID,Borough,Block,Lot,DESIG_ADDRESS,BBL,LM_NAME,LP_NUMBER,SITE_DESC,SITE_STATUS,LM_NAME2,DESIG_DATE,LM_TYPE,REPORT_URL,CD,Council,Latitude,Longitude,BCT2020,NTA2020,Shape_Leng,Shape_Area,Category,Neighborhood,Popularity_Tier
1462,BK,3964,8,Empire State Dairy Company Buildings,3039640008,Empire State Dairy Company Buildings,LP-02575,"Borough of Brooklyn, Tax Map 3964, Lot 8 in part.",Designated,,12/5/2017,Individual Landmark,,305,37,40.6764036,-73.8889353,3119800,BK0502,551.5186728,14486.44328,Commercial,Park Slope,Tier 4: Neighborhood Staple
1229,MN,1,101,Liberty Island,1000010101,Statue of Liberty,LP-00931,"Borough of Manhattan Tax Map Block 1, Lot 101 in part.",Designated,,9/14/1976,Individual Landmark,,101,1,40.6899196,-74.0453371,1000100,MN0191,1196.335576,60488.72927,Other,Upper East Side,Tier 1: Global Icon
1187,MN,1111,1,Fifth Avenue and East 82nd Street,1011110001,Metropolitan Museum of Art,LP-00410,"Borough of Manhattan Tax Map Block 1111, Lot 1 in part, consisting of the land on which the described buildings are situated.",Designated,,6/9/1967,Individual Landmark,,164,4,40.7824929,-73.9655482,1012200,MN6491,3903.193528,487372.4787,Public/Civic,Hell's Kitchen,Tier 1: Global Icon
1086,BX,3120,20,"New York Zoological Park, inside East Fordham Road",2031200020,"Rockefeller Fountain, New York Zoological Park",LP-00109,"Borough of The Bronx Tax Map Block 3120, Lot 20 in part, consisting of the land on which the described improvement is situated.",Designated,,2/20/1968,Individual Landmark,,227,15,40.8499951,-73.8783005,2033400,BX2791,177.0011897,2486.784182,Public/Civic,Riverdale,Tier 2: National Draw
795,MN,1297,23,405 Lexington Avenue,1012970023,Chrysler Building,LP-00992,"Borough of Manhattan Tax Map Block 1297, Lot 23.",Designated,,9/12/1978,Individual Landmark,,106,4,40.7516363,-73.9753741,1009200,MN0604,792.4427191,38952.08171,Commercial,Tribeca,Tier 1: Global Icon
794,MN,1325,34,242 East 52nd Street,1013250034,Rockefeller Guest House,LP-02079,"Borough of Manhattan Tax Map Block 1325, Lot 34.",Designated,,12/5/2000,Individual Landmark,,106,4,40.7562211,-73.9684205,1009800,MN0604,254.0353975,2492.076967,Residential,Upper East Side,Tier 5: Ultra Niche / Insider Knowledge
705,MN,1270,20,17 West 54th Street and 24 West 55th Street,1012700020,Rockefeller Apartments,LP-01276,"Borough of Manhattan Tax Map Block 1270, Lot 20.",Designated,,6/19/1984,Individual Landmark,,105,4,40.7619348,-73.9765327,1010400,MN0502,689.1229452,27416.66924,Residential,Hell's Kitchen,Tier 5: Ultra Niche / Insider Knowledge
565,MN,1209,31,354 Central Park West,1012090031,354 Central Park West House,LP-01644,"Borough of Manhattan Tax Map Block 1209, Lot 31.",Designated,,11/10/1987,Individual Landmark,,107,6,40.7913308,-73.9652294,1018100,MN0702,142.22131,959.8455214,Residential,Tribeca,Tier 1: Global Icon
512,MN,1209,32,355 Central Park West,1012090032,355 Central Park West House,LP-01645,"Borough of Manhattan Tax Map Block 1209, Lot 35.",Designated,,11/10/1987,Individual Landmark,,107,6,40.7913775,-73.9651969,1018100,MN0702,146.3805959,1070.074264,Residential,Greenwich Village,Tier 1: Global Icon
500,MN,1030,58,240 Central Park South,1010300058,240 Central Park South Apartments,LP-02116,"Borough of Manhattan Tax Map Block 1030, Lot 58.",Designated,,6/25/2002,Individual Landmark,,105,6,40.7673099,-73.981177,1013700,MN0502,755.6222836,36837.27849,Residential,Greenwich Village,Tier 1: Global Icon
