the_geom,OBJECTID,Borough,Block,Lot,DESIG_ADDRESS,BBL,LM_NAME,LP_NUMBER,SITE_DESC,SITE_STATUS,LM_NAME2,DESIG_DATE,LM_TYPE,REPORT_URL,CD,Council,Latitude,Longitude,BCT2020,NTA2020,Shape_Leng,Shape_Area,neighborhood,wiki_title,wiki_url,confidence,pageviews,score,category
"POLYGON ((988453.5312791765 200119.90427191556, 988455.3869185001 200124.6398267597, 988349.7650825083 200166.45962500572, 988347.8966479301 200161.74178667367, 988330.5115120858 200117.83242566884, 988356.8244515955 200107.41446749866, 988319.7451294214 200012.28243991733, 988399.0550101697 199980.88092792034, 988453.5312791765 200119.90427191556))",1545,MN,341,26,440 GRAND STREET,1003410026,Church of Saint Mary,LP-02694,"Borough of Manhattan, Tax Map Block 341, Lot 26",Designated,,4/7/2026,Individual,,103.0,1.0,40.7158766,-73.9852317,1001402.0,MN0302,536.00467099305,14664.75728707675,Lower East Side,St. Mary's Church,https://en.wikipedia.org/wiki/St._Mary%27s_Church,low,6691.0,75.67567567567568,Religious Site
"POLYGON ((989857.4395605922 189382.3420856744, 989822.2818225026 189315.28185233474, 989869.1137498468 189290.72907991707, 989904.2718160003 189357.78898517787, 989857.4395605922 189382.3420856744))",1544,BK,174,1201,362 SCHERMERHORN STREET,3001741201,Public School 15 Annex,LP-02696,"Borough of Brooklyn, Tax Map Block 174, Lot 1201",Designated,,4/7/2026,Individual,,302.0,33.0,40.6861417,-73.979772,3003900.0,BK0202,257.19104578042,4003.79302991702,Downtown Brooklyn-DUMBO-Boerum Hill,Tarlac National High School,https://en.wikipedia.org/wiki/Tarlac_National_High_School,low,9395.0,40.81632653061224,School
"POLYGON ((985459.6497997642 212598.41212326288, 985450.0205539167 212603.7543041706, 985438.532716006 212610.12797908485, 985438.2262861729 212610.29792626202, 985386.2618231773 212515.84896817803, 985407.6853367537 212503.96250900626, 985459.6497997642 212598.41212326288))",1543,MN,754,34,307 WEST 30 STREET,1007540034,Lithuanian Alliance Building,LP-02695,"Borough of Manhattan Tax Map Block 754, Lot 34",Designated,,4/4/2026,Individual,,104.0,3.0,40.7500963,-73.9957701,1010300.0,MN0401,264.60111389895,2641.09084660537,Chelsea-Hudson Yards,Lithuanian Alliance of America,https://en.wikipedia.org/wiki/Lithuanian_Alliance_of_America,medium,,72.41379310344827,Government Building
"POLYGON ((985969.6901182532 210960.08009809256, 985865.3248414248 211017.71121641994, 985767.6324515045 210840.27029833198, 985873.3825680912 210781.87408967316, 985922.7246610075 210873.1760724187, 985969.6901182532 210960.08009809256))",1542,MN,801,1,275 7 AVENUE,1008010001,Lefcourt Clothing Center,LP-02691,"Borough of Manhattan Tax Map Block 801, Lot 1",Designated,,8/12/2025,Individual Landmark,,104.0,3.0,40.7455454,-73.9941608,1009100.0,MN0401,645.14377522383,24309.04066206343,Chelsea-Hudson Yards,Abraham E. Lefcourt,https://en.wikipedia.org/wiki/Abraham_E._Lefcourt,low,2218.0,51.16279069767442,Commercial Building
"POLYGON ((988789.42594859 213157.92970500886, 988762.0831555128 213173.04614458978, 988710.3221041709 213079.51319517195, 988759.8623594195 213052.12545467913, 988811.6230826676 213145.65873217583, 988789.42594859 213157.92970500886))",1541,MN,840,31,15 WEST 38 STREET,1008400031,Barbey Building,LP-02687,"Borough of Manhattan Tax Map Block 840, Lot 31",Designated,,8/12/2025,Individual Landmark,,105.0,4.0,40.7516186,-73.9837223,1008400.0,MN0502,327.0132860765,6051.23474657412,Midtown-Times Square,Daniel E. Barbey,https://en.wikipedia.org/wiki/Daniel_E._Barbey,low,3692.0,58.06451612903225,Commercial Building
"POLYGON ((985761.1117952615 212258.58865591884, 985710.1066479236 212166.45268534124, 985731.5085080117 212154.6662915945, 985751.743047595 212143.52261309326, 985773.7580954283 212131.39862158895, 985824.5624557585 212223.1723881662, 985761.1117952615 212258.58865591884))",1540,MN,779,66,242 WEST 30 STREET,1007790066,Furcraft Building,LP-02690,"Borough of Manhattan Tax Map Block 779, Lot 66",Designated,,8/12/2025,Individual Landmark,,105.0,3.0,40.7490999,-73.994525,1009500.0,MN0501,355.54063544853,7637.46829960348,Midtown South-Flatiron-Union Square,List of New York City Designated Landmarks in Manhattan from 14th to 59th Streets,https://en.wikipedia.org/wiki/List_of_New_York_City_Designated_Landmarks_in_Manhattan_from_14th_to_59th_Streets,low,10624.0,18.36734693877551,Commercial Building
"POLYGON ((985896.3018135875 211886.79445201159, 985853.2589206696 211910.6418452561, 985819.7370060831 211850.5606005937, 985819.6723736674 211850.59636166692, 985800.7659154236 211816.49964508414, 985825.3721654266 211802.91404233873, 985828.7697964311 211809.00687792897, 985833.7596158385 211806.25196217, 985847.8904930949 211831.59836816788, 985861.3740619272 211824.15382926166, 985896.3018135875 211886.79445201159))",1539,MN,778,52,224 WEST 29 STREET,1007780052,29th Street Towers,LP-02689,"Borough of Manhattan Tax Map Block 778, Lot 52",Designated,,8/12/2025,Individual Landmark,,105.0,3.0,40.7481722,-73.9942327,1009500.0,MN0501,313.99475294444,4710.50956049143,Midtown South-Flatiron-Union Square,601 West 29th Street,https://en.wikipedia.org/wiki/601_West_29th_Street,low,1576.0,73.6842105263158,Government Building
"POLYGON ((987527.481622085 213236.3675402552, 987475.6168964207 213265.05645926297, 987438.2340971678 213199.44865083694, 987490.0876680017 213170.74070300162, 987527.481622085 213236.3675402552))",1538,MN,812,19,135 WEST 36 STREET,1008120019,Fashion Tower,LP-02688,"Borough of Manhattan Tax Map Block 812, Lot 19",Designated,,8/12/2025,Individual Landmark,,105.0,3.0,40.7519073,-73.9883349,1010900.0,MN0502,269.58400549468,4475.84631140273,Midtown-Times Square,Eiffel Tower,https://en.wikipedia.org/wiki/Eiffel_Tower,low,2164014.0,56.00000000000001,Commercial Building
"POLYGON ((985985.1746673435 211837.55537725985, 985896.3018135875 211886.79445201159, 985861.3740619272 211824.15382926166, 985847.8904930949 211831.59836816788, 985833.7596158385 211806.25196217, 985847.9210048467 211798.38452383876, 985871.500025928 211785.4147334993, 985891.4599597603 211774.3944143355, 985913.6958076805 211762.11753600836, 985936.0159730017 211749.79374176264, 985985.1746673435 211837.55537725985))",1537,MN,778,48,214 WEST 29 STREET,1007780048,29th Street Towers,LP-02689,"Borough of Manhattan Tax Map Block 778, Lot 48",Designated,,8/12/2025,Individual Landmark,,105.0,3.0,40.7480679,-73.9939981,1009500.0,MN0501,435.14215173717,10665.70337117002,Midtown South-Flatiron-Union Square,601 West 29th Street,https://en.wikipedia.org/wiki/601_West_29th_Street,low,1576.0,73.6842105263158,Government Building
"POLYGON ((994254.088903755 220998.7503094226, 994275.9490962625 220986.62074050307, 994276.5173365921 220987.64206391573, 994298.3775290847 220975.5124950111, 994349.21141693 221066.90174792707, 994236.0062627643 221129.72051991522, 994184.6031503379 221037.3109278381, 994254.088903755 220998.7503094226))",1536,MN,1389,50,945 Madison Avenue,1013890050,(Former) Whitney Museum of American Art,LP-02685,"Borough of Manhattan Tax Map Block 1289, Lot 50",Designated,,5/20/2025,Individual Landmark,,108.0,4.0,40.7734073,-73.963838,1013000.0,MN0802,470.42313591192,13661.31616698083,Upper East Side-Carnegie Hill,Whitney Museum of American Art,https://en.wikipedia.org/wiki/Whitney_Museum_of_American_Art,low,32783.0,86.95652173913044,Museum
"POLYGON ((985237.482265085 207496.9279036671, 985219.9862370938 207506.6073462516, 985168.1405402571 207412.35491009057, 985185.636896342 207402.67579558492, 985237.482265085 207496.9279036671))",1535,MN,576,15,50 West 13 Street,1005760015,Jacob Day Residence,LP-02658,"Borough of Manhattan Tax Map Block 576, Lot 15",Designated,,10/22/2024,Individual Landmark,,102.0,2.0,40.7360899,-73.9965648,1006300.0,MN0202,255.13160680413,2150.88320625397,Greenwich Village,Daniel Stern (actor),https://en.wikipedia.org/wiki/Daniel_Stern_(actor),low,832731.0,35.89743589743589,Residential Building
